repo_name_with_owner,sdg_topic,ovio_topic
UPchieve/web,,"['Economics', 'Education']"
tidepool-org/tide-whisperer,,['Health & Well-being']
RefugeRestrooms/refugerestrooms-android,,['Society & Culture']
jcl5m1/ventilator,,['Health & Well-being']
openstates/openstates,,['Civic Tech']
reach4help/reach4help,,['Health & Well-being']
opencovid19-fr/data,,['Health & Well-being']
hotosm/hotosm-website,,['Humanitarian']
unicef/magicbox-kepler-app,,"['Economics', 'Education']"
AaronWard/covidify,,['Health & Well-being']
Data4Democracy/usa-dashboard,,['Civic Tech']
tokyo-metropolitan-gov/covid19,,['Health & Well-being']
theirc/web,,['Humanitarian']
COVID19Tracking/website,,['Health & Well-being']
tgalopin/enpremiereligne.fr,,['Health & Well-being']
openstreetmap/osmosis,,['Humanitarian']
opt-out-tool/opt-out,,['Society & Culture']
covidcaremap/covid19-healthsystemcapacity,,['Health & Well-being']
github/covid19-dashboard,,['Health & Well-being']
openoakland/OakCrime,,['Civic Tech']
codeforamerica/colorado-benefits,,['Civic Tech']
UPchieve/server,,"['Economics', 'Education']"
WildbookOrg/reid-manta,,['Environment & Nature']
unicef/magicbox-app,,"['Economics', 'Education']"
Data4Democracy/immigration-connect,,['Civic Tech']
medic/medic,,['Health & Well-being']
mhdhejazi/CoronaTracker,,['Health & Well-being']
OpenAgInitiative/openag-device-software,,"['Humanitarian', 'Environment & Nature']"
sozialhelden/wheelmap-react-frontend,,"['Economics', 'Health & Well-being']"
neherlab/covid19_scenarios,,['Health & Well-being']
openclimatedata/paris-agreement-entry-into-force,,['Environment & Nature']
BustByte/coronastatus,,['Health & Well-being']
ExpDev07/coronavirus-tracker-api,,['Health & Well-being']
fieldpapers/josm-fieldpapers,,['Humanitarian']
dhis2/app-platform,,['Health & Well-being']
emergenzeHack/covid19italia,,['Health & Well-being']
openoakland/clean-water,,['Environment & Nature']
kaz-ogiwara/covid19,,['Health & Well-being']
UptakeOpenSource/autofocus,,['Environment & Nature']
opendatateam/croquemort,,['Civic Tech']
benetech/ServiceNet,,['Humanitarian']
pcm-dpc/COVID-19,,['Health & Well-being']
Microsoft/Smart-Energy-Foundation-Demo-Stack,,['Environment & Nature']
nextstrain/nextstrain.org,,['Health & Well-being']
codersagainstcovidorg/covid19testing-map,,['Health & Well-being']
JohnCoene/coronavirus,,['Health & Well-being']
globalcitizen/2019-wuhan-coronavirus-data,,['Health & Well-being']
okfde/offenerhaushalt.de,,['Civic Tech']
theirc/airbel,,['Humanitarian']
ieee8023/covid-chestxray-dataset,,['Health & Well-being']
